"";"Publication.Year";"Count.of.Simple.Family.Members";"Simple.Family.Cited.by.Count";"Count.of.Other.References";"Count.of.Cited.by.Patents";"Count.of.Cites.Patents";"Count.of.Cited.by.Patents.Within.3.years";"Count.of.Cited.by.Patents.Within.5.years";"Simple.Legal.Status";"Count.of.claims";"Quality.of.Family";"Cluster"
"1118";2012;1;0;0;0;0;0;0;3;1;0;"1"
"1119";2006;1;6;0;6;1;2;2;3;8;0;"1"
"1120";1996;1;0;0;0;0;0;0;3;1;0;"1"
"1121";1913;1;0;0;0;0;0;0;3;33;0;"2"
"1122";1964;1;3;0;3;0;0;0;3;1;0;"2"
"1123";2003;2;0;0;0;0;0;0;3;1;0;"1"
"1124";1956;1;3;0;3;0;0;0;3;30;0;"2"
"1125";2004;2;34;0;27;13;11;15;3;15;1;"1"
"1126";1997;16;148;0;86;30;4;6;3;41;1;"1"
"1127";1920;1;0;0;0;0;0;0;3;5;0;"2"
"1128";2007;1;0;0;0;0;0;0;3;10;0;"1"
"1129";2010;1;1;0;1;1;1;1;3;25;0;"1"
"1130";1932;1;0;0;0;0;0;0;3;1;0;"2"
"1131";1933;1;0;0;0;0;0;0;3;2;0;"2"
"1132";1931;1;8;0;8;0;0;0;3;12;0;"2"
"1133";1912;1;0;0;0;0;0;0;3;7;0;"2"
"1134";2016;1;0;0;0;7;0;0;3;3;0;"1"
"1135";1933;1;0;0;0;0;0;0;3;1;0;"2"
"1136";2009;3;20;0;20;10;3;6;1;47;0;"1"
"1137";1913;1;3;0;3;0;0;0;3;28;0;"2"
"1138";2016;1;0;0;0;7;0;0;3;10;0;"1"
"1139";2005;2;50;0;31;4;0;23;3;13;1;"1"
"1140";2007;8;17;0;2;30;0;0;3;7;1;"1"
"1141";1994;3;8;0;0;0;0;0;3;19;0;"1"
"1142";1921;1;0;0;0;0;0;0;3;10;0;"2"
"1143";1912;1;0;0;0;0;0;0;3;19;0;"2"
"1144";1957;1;1;0;1;0;1;1;3;2;0;"2"
"1145";2010;1;19;0;19;2;2;7;3;3;0;"1"
"1146";1934;1;0;0;0;0;0;0;3;1;0;"2"
"1147";1932;1;5;0;5;0;0;0;3;10;0;"2"
"1148";1933;1;3;0;3;0;0;0;3;1;0;"2"
"1149";2016;1;0;0;0;0;0;0;3;3;0;"1"
"1150";2012;30;228;0;22;19;7;9;4;39;1;"1"
"1151";1992;13;96;0;86;13;4;7;3;12;1;"1"
"1152";2002;12;59;0;30;34;1;9;3;10;1;"1"
"1153";2013;1;3;0;3;0;0;1;3;4;0;"1"
"1154";2003;1;1;0;1;3;0;1;3;6;0;"1"
"1155";2006;2;149;0;57;9;3;12;3;11;1;"1"
"1156";1911;1;1;0;1;0;0;0;3;9;0;"2"
"1157";1989;1;29;3;29;8;8;8;3;39;1;"1"
"1158";1957;1;3;0;3;0;0;0;3;7;0;"2"
"1159";1996;1;0;1;0;0;0;0;3;1;0;"1"
"1160";1961;1;6;0;6;0;0;1;3;31;0;"2"
"1161";2007;1;50;0;50;1;4;7;3;37;0;"1"
"1162";1995;1;1;0;1;0;1;1;3;21;0;"1"
"1163";1943;1;1;0;1;0;0;0;3;5;0;"2"
"1164";2001;1;0;0;0;0;0;0;3;92;0;"1"
"1165";1985;1;0;0;0;0;0;0;3;35;0;"1"
"1166";2003;1;1;0;1;0;1;1;3;4;0;"1"
"1167";1912;1;0;0;0;0;0;0;3;21;0;"2"
"1168";2008;2;12;2;10;22;2;5;3;20;1;"1"
"1169";1925;1;0;0;0;0;0;0;3;12;0;"2"
"1170";2001;1;0;1;0;3;0;0;3;1;0;"1"
"1171";1934;1;1;0;1;0;0;0;3;1;0;"2"
"1173";1996;1;1;2;1;0;0;1;3;5;0;"1"
"1174";1909;1;0;0;0;0;0;0;3;17;0;"2"
"1175";2020;2;0;0;0;13;0;0;4;18;1;"1"
"1176";2015;1;5;0;5;4;3;5;3;3;0;"1"
"1177";2002;1;1;0;1;0;0;0;3;1;0;"1"
"1178";1956;1;0;0;0;0;0;0;3;1;0;"2"
"1179";1987;2;0;0;0;0;0;0;3;4;0;"1"
"1180";1952;1;0;0;0;0;0;0;3;4;0;"2"
"1181";2018;2;0;1;0;8;0;0;1;43;0;"1"
"1182";1925;1;2;0;2;0;0;0;3;7;0;"2"
"1183";2008;2;3;1;3;3;3;3;3;6;0;"1"
"1184";2009;3;0;0;0;3;0;0;1;3;0;"1"
"1185";1922;1;0;0;0;0;0;0;3;8;0;"2"
"1186";1911;1;0;0;0;0;0;0;3;2;0;"2"
"1187";1987;8;14;0;14;7;1;1;3;28;1;"1"
"1188";1923;1;1;0;1;0;0;0;3;1;0;"2"
"1189";1936;1;2;0;2;0;0;0;3;2;0;"2"
"1190";2004;1;3;0;3;0;0;0;3;3;0;"1"
"1191";2020;1;0;0;0;0;0;0;2;22;1;"1"
"1192";1986;1;0;0;0;0;0;0;3;2;0;"1"
