"";"Publication.Year";"Count.of.Simple.Family.Members";"Simple.Family.Cited.by.Count";"Count.of.Other.References";"Count.of.Cited.by.Patents";"Count.of.Cites.Patents";"Count.of.Cited.by.Patents.Within.3.years";"Count.of.Cited.by.Patents.Within.5.years";"Simple.Legal.Status";"Count.of.claims";"Quality.of.Family";"Cluster"
"1728";2016;1;0;0;0;0;0;0;3;9;0;"1"
"1729";2001;1;0;0;0;0;0;0;3;1;0;"1"
"1730";2003;1;32;0;32;4;4;8;3;20;1;"1"
"1731";1912;1;0;0;0;0;0;0;3;7;0;"2"
"1732";2020;2;0;0;0;4;0;0;4;26;0;"1"
"1733";1961;1;0;0;0;0;0;0;3;24;0;"2"
"1734";1963;1;0;0;0;0;0;0;3;43;0;"2"
"1735";2011;2;2;1;2;4;0;0;3;1;0;"1"
"1736";1976;1;24;0;24;7;0;0;3;6;1;"1"
"1737";1913;1;0;0;0;0;0;0;3;4;0;"2"
"1738";1936;1;4;0;4;0;0;0;3;23;0;"2"
"1739";1974;1;3;0;3;4;0;0;3;31;1;"1"
"1740";2002;6;168;2;148;36;20;42;3;43;1;"1"
"1741";2003;1;0;0;0;0;0;0;3;1;0;"1"
"1742";1915;1;0;0;0;0;0;0;3;9;0;"2"
"1743";2000;4;16;0;0;4;0;0;1;27;0;"1"
"1744";2020;3;0;0;0;6;0;0;4;14;1;"1"
"1745";1922;1;0;0;0;0;0;0;3;5;0;"2"
"1746";1999;1;3;1;3;0;0;0;3;8;0;"1"
"1747";2003;1;0;0;0;2;0;0;3;33;0;"1"
"1748";1963;1;0;0;0;0;0;0;3;42;0;"2"
"1749";1986;2;3;0;0;0;0;0;3;10;0;"1"
"1750";1921;1;1;0;1;0;0;0;3;1;0;"2"
"1751";2005;9;19;0;4;6;0;0;3;10;0;"1"
"1752";1959;1;8;0;9;0;0;0;3;40;0;"2"
"1753";1912;1;0;0;0;0;0;0;3;9;0;"2"
"1754";1913;1;0;0;0;0;0;0;3;22;0;"2"
"1755";2008;2;3;0;0;0;0;0;3;14;0;"1"
"1756";1956;1;7;0;7;0;0;0;3;1;0;"2"
"1757";2007;3;0;0;0;8;0;0;3;6;0;"1"
"1758";1990;2;3;0;2;4;0;0;3;23;0;"1"
"1759";1927;1;0;0;0;0;0;0;3;1;0;"2"
"1760";1907;1;0;0;0;0;0;0;3;25;0;"2"
"1761";1997;4;0;0;0;8;0;0;1;6;0;"1"
"1762";1918;1;0;0;0;0;0;0;3;6;0;"2"
"1763";1960;1;0;0;0;0;0;0;3;1;0;"2"
"1764";1962;1;0;0;0;0;0;0;3;1;0;"2"
"1765";2018;2;0;0;0;7;0;0;1;64;1;"1"
"1766";1991;7;39;0;25;7;0;1;3;26;1;"1"
"1767";2013;1;3;0;3;3;3;3;1;11;0;"1"
"1768";1936;1;1;0;1;0;0;0;3;1;0;"2"
"1769";1911;1;0;0;0;0;0;0;3;3;0;"2"
"1770";2015;2;7;0;7;5;7;7;4;38;0;"1"
"1771";1913;1;1;0;1;0;0;0;3;24;0;"2"
"1772";2011;3;3;0;1;5;1;1;1;57;0;"1"
"1773";2012;4;4;0;3;36;0;2;4;22;1;"1"
"1774";2011;1;1;0;1;1;0;0;3;61;0;"1"
"1775";2007;1;7;0;7;4;2;5;3;14;1;"1"
"1776";1956;1;1;0;1;0;0;0;3;1;0;"2"
"1777";1998;2;0;0;0;0;0;0;3;7;0;"1"
"1778";2014;1;0;0;0;0;0;0;3;1;0;"1"
"1779";1997;1;4;0;4;6;0;0;1;22;0;"1"
"1780";1921;1;1;0;1;0;0;0;3;8;0;"2"
"1781";1911;1;0;0;0;0;0;0;3;46;0;"2"
"1782";2014;1;0;0;0;0;0;0;3;11;0;"1"
"1783";2001;2;0;0;0;0;0;0;3;1;0;"1"
"1784";2004;1;7;1;7;4;0;0;1;21;0;"1"
"1785";2008;1;0;1;0;4;0;0;3;2;0;"1"
"1786";1914;1;0;0;0;0;0;0;3;9;0;"2"
"1788";2010;1;0;0;0;0;0;0;3;1;0;"1"
"1789";2003;2;17;0;17;2;8;14;3;11;0;"1"
"1790";2005;1;0;0;0;0;0;0;3;1;0;"1"
"1791";1997;2;0;0;0;0;0;0;3;1;0;"1"
"1792";2001;1;44;0;44;28;14;22;3;35;1;"1"
"1793";1988;1;4;1;4;5;0;0;3;47;0;"1"
"1794";1932;1;2;0;2;0;0;0;3;10;0;"2"
"1795";1925;1;2;0;2;0;0;0;3;1;0;"2"
"1796";1915;1;0;0;0;0;0;0;3;10;0;"2"
"1797";1973;1;18;0;18;3;0;0;3;50;1;"1"
"1798";2020;4;0;4;0;0;0;0;2;107;1;"1"
"1799";1912;1;0;0;0;0;0;0;3;29;0;"2"
"1800";2000;4;1;0;1;5;0;0;1;9;0;"1"
"1801";1939;1;0;0;0;0;0;0;3;10;0;"2"
"1802";1996;1;1;0;1;0;0;0;3;2;0;"1"
"1803";2005;8;29;0;25;19;10;10;3;35;1;"1"
"1804";1933;2;4;0;4;0;0;0;3;15;0;"2"
"1805";1987;5;2;0;0;0;0;0;3;69;0;"1"
"1806";2004;1;0;0;0;0;0;0;3;4;0;"1"
"1807";2013;4;5;0;1;6;1;1;4;20;1;"1"
"1808";1968;1;0;0;0;0;0;0;3;12;0;"2"
"1809";2013;2;0;1;0;5;0;0;3;1;0;"1"
"1810";1996;1;0;2;0;0;0;0;3;5;0;"1"
"1811";1915;1;0;0;0;0;0;0;3;4;0;"2"
"1812";1915;1;2;0;2;0;0;0;3;26;0;"2"
"1813";1914;2;0;0;0;0;0;0;3;9;0;"2"
"1814";1978;2;11;0;1;0;0;0;3;3;0;"1"
"1815";1927;1;0;0;0;0;0;0;3;1;0;"2"
"1816";2016;1;2;0;2;2;2;2;3;6;0;"1"
"1817";2007;12;5;0;1;5;1;1;4;6;1;"1"
"1818";1931;1;0;0;0;0;0;0;3;6;0;"2"
"1819";2008;1;8;0;8;0;0;4;3;63;0;"1"
"1820";1961;1;1;0;1;0;0;0;3;1;0;"2"
"1821";2002;5;5;0;2;13;2;2;3;13;1;"1"
"1822";1924;1;0;0;0;0;0;0;3;2;0;"2"
"1823";1932;1;0;0;0;0;0;0;3;1;0;"2"
"1824";2009;6;24;0;12;20;7;7;3;25;1;"1"
"1825";2014;1;0;0;0;0;0;0;3;5;0;"1"
"1826";1912;1;0;0;0;0;0;0;3;25;0;"2"
"1827";1928;1;1;0;1;0;0;0;3;7;0;"2"
"1828";1938;1;3;0;3;0;0;0;3;1;0;"2"
"1829";1939;1;7;0;7;0;0;1;3;3;0;"2"
"1830";1913;1;0;0;0;0;0;0;3;20;0;"2"
"1831";1975;1;5;0;5;2;0;0;3;5;1;"1"
"1832";2008;2;4;0;0;5;0;0;3;19;0;"1"
"1833";1993;1;105;0;105;3;1;1;3;19;1;"1"
"1834";2005;2;77;0;29;18;6;11;3;25;1;"1"
"1835";1930;1;0;0;0;0;0;0;3;1;0;"2"
"1836";2020;9;14;0;0;0;0;0;2;23;1;"1"
"1837";1912;1;0;0;0;0;0;0;3;4;0;"2"
"1838";2004;5;31;0;0;1;0;0;4;10;1;"1"
"1839";2006;4;28;0;1;4;1;1;1;20;1;"1"
"1840";2003;1;4;0;4;0;1;1;3;1;0;"1"
"1841";1993;4;16;0;13;7;0;0;3;129;1;"1"
"1842";1979;1;0;0;0;0;0;0;3;69;0;"1"
"1843";1931;1;0;0;0;0;0;0;3;2;0;"2"
"1844";1911;1;0;0;0;0;0;0;3;8;0;"2"
"1845";1937;4;1;0;1;0;0;0;3;10;0;"2"
"1846";2014;1;1;0;1;5;1;1;3;1;0;"1"
"1847";1961;1;0;0;0;4;0;0;3;30;0;"2"
"1848";2017;3;9;0;1;7;1;1;1;19;0;"1"
"1849";1911;1;0;0;0;0;0;0;3;22;0;"2"
"1850";2017;1;0;0;0;0;0;0;3;7;0;"1"
"1851";1934;1;2;0;2;0;0;0;3;1;0;"2"
"1852";1962;1;4;0;4;0;0;0;3;24;0;"2"
"1853";1958;1;0;0;0;0;0;0;3;1;0;"2"
"1854";1973;1;2;0;2;0;0;0;3;17;0;"1"
"1855";1987;1;39;0;39;13;1;3;3;10;1;"1"
"1856";1976;3;12;0;11;5;0;0;3;18;1;"1"
"1857";2003;2;40;0;26;12;6;13;3;11;1;"1"
"1858";2004;9;62;0;57;6;3;16;3;64;1;"1"
"1859";2017;1;1;0;1;6;1;1;3;9;0;"1"
"1860";1995;2;2;0;0;0;0;0;3;7;0;"1"
"1861";1996;3;16;0;15;9;4;4;3;16;1;"1"
"1862";2017;3;1;0;1;13;1;1;4;27;1;"1"
"1863";1959;1;5;0;5;0;0;0;3;9;0;"2"
"1864";2000;1;0;0;0;0;0;0;3;1;0;"1"
"1865";1986;1;4;0;4;0;2;3;3;16;0;"1"
"1866";2007;1;0;0;0;0;0;0;3;1;0;"1"
"1867";1916;1;0;0;0;0;0;0;3;3;0;"2"
"1868";1912;1;0;0;0;0;0;0;3;28;0;"2"
"1869";1995;3;28;0;28;7;1;2;3;26;1;"1"
"1870";1913;1;0;0;0;0;0;0;3;25;0;"2"
"1871";2020;1;0;0;0;9;0;0;1;77;0;"1"
"1872";1995;3;4;0;2;4;0;0;3;13;0;"1"
"1873";2020;2;1;3;0;15;0;0;4;28;1;"1"
"1874";1968;1;0;0;0;0;0;0;3;1;0;"2"
"1875";2001;1;16;0;16;4;0;0;3;5;1;"1"
"1876";1986;1;2;0;2;0;0;0;3;14;0;"1"
"1877";1912;1;0;0;0;0;0;0;3;24;0;"2"
"1878";2010;1;1;0;1;0;0;0;3;17;0;"1"
"1879";1911;1;0;0;0;0;0;0;3;24;0;"2"
"1880";1997;1;5;0;5;0;1;1;3;5;0;"1"
"1881";2016;2;2;0;2;2;2;2;3;6;0;"1"
"1882";1913;1;0;0;0;0;0;0;3;26;0;"2"
"1883";2004;1;3;0;3;6;0;3;3;15;0;"1"
"1884";2017;2;39;0;1;0;1;1;3;27;1;"1"
"1885";2004;3;64;0;64;11;11;24;3;33;1;"1"
"1886";2013;2;0;1;0;2;0;0;3;8;0;"1"
"1887";1923;1;0;0;0;0;0;0;3;43;0;"2"
"1888";1911;1;0;0;0;0;0;0;3;19;0;"2"
"1889";1985;1;0;0;0;0;0;0;3;10;0;"1"
"1890";1960;1;4;0;4;0;1;1;3;33;0;"2"
"1891";1996;1;5;0;5;1;0;0;3;7;0;"1"
"1892";1974;1;44;1;44;7;1;3;3;6;1;"1"
"1893";1938;1;0;0;0;0;0;0;3;1;0;"2"
"1894";1916;1;0;0;0;0;0;0;3;6;0;"2"
"1895";1933;1;0;0;0;0;0;0;3;1;0;"2"
"1896";1910;1;1;0;1;0;0;0;3;5;0;"2"
"1897";1929;1;1;0;1;0;0;0;3;4;0;"2"
"1898";2006;2;44;2;2;0;0;0;1;24;0;"1"
"1899";1997;2;0;0;0;0;0;0;3;29;0;"1"
"1900";2006;2;6;0;6;19;0;0;3;14;1;"1"
"1901";1966;1;1;0;1;0;0;0;3;1;0;"2"
"1902";1973;1;4;0;4;4;0;0;3;12;1;"1"
"1903";1906;1;0;0;0;0;0;0;3;26;0;"2"
"1904";1914;1;0;0;0;0;0;0;3;33;0;"2"
"1905";2013;1;4;0;4;0;4;4;3;23;0;"1"
"1906";1939;1;0;0;0;0;0;0;3;6;0;"2"
"1907";1948;1;0;0;0;0;0;0;3;2;0;"2"
"1908";1998;1;0;0;0;0;0;0;3;1;0;"1"
"1909";1974;1;23;0;23;11;1;2;3;19;1;"1"
"1910";1942;1;7;0;7;0;0;0;3;1;0;"2"
"1911";2006;1;5;0;5;0;1;1;3;4;0;"1"
"1912";2000;1;6;1;6;0;0;1;3;1;0;"1"
"1913";2003;1;6;0;6;0;0;0;3;4;0;"1"
"1914";1929;1;4;0;4;0;0;0;3;8;0;"2"
"1915";2013;2;26;0;12;39;5;12;4;18;1;"1"
"1916";1996;1;0;0;0;0;0;0;3;4;0;"1"
"1917";1995;1;21;0;21;14;1;1;3;16;1;"1"
"1918";1992;4;27;0;23;6;0;0;3;12;1;"1"
"1919";1988;4;2;0;0;0;0;0;3;6;0;"1"
"1920";1991;1;2;0;2;0;0;0;3;10;0;"1"
"1921";2005;4;120;0;39;4;6;13;4;9;1;"1"
"1922";1991;1;0;0;0;2;0;0;3;6;0;"1"
"1923";2004;16;41;0;27;15;9;12;3;12;1;"1"
"1924";2020;3;0;1;0;5;0;0;4;24;0;"1"
"1925";1993;1;39;0;39;12;0;0;3;63;1;"1"
"1926";1950;1;3;0;3;0;0;1;3;11;0;"2"
"1927";2006;2;0;0;0;3;0;0;3;11;0;"1"
"1928";2004;20;52;3;41;11;17;24;3;21;1;"1"
"1929";1914;1;0;0;0;0;0;0;3;11;0;"2"
"1930";1989;1;3;0;3;0;2;2;3;41;0;"1"
"1931";2000;1;59;0;59;6;7;18;3;57;1;"1"
"1932";1990;5;43;0;35;10;1;1;3;44;1;"1"
"1933";2000;2;4;1;4;0;0;0;3;2;0;"1"
"1934";1953;1;4;0;4;0;0;0;3;11;0;"2"
"1935";2006;6;26;0;24;3;3;4;1;41;0;"1"
"1936";2004;2;29;0;21;15;16;16;3;71;1;"1"
"1937";1911;1;0;0;0;0;0;0;3;12;0;"2"
"1938";1926;1;0;0;0;0;0;0;3;1;0;"2"
"1939";1941;1;0;0;0;0;0;0;3;7;0;"2"
"1940";1924;1;1;0;1;0;0;0;3;5;0;"2"
"1941";2008;3;1;0;1;1;0;0;3;30;0;"1"
"1942";2002;3;5;0;3;6;2;2;3;10;0;"1"
"1943";1937;1;0;0;0;0;0;0;3;9;0;"2"
"1944";1915;1;0;0;0;0;0;0;3;30;0;"2"
"1945";2007;1;6;0;6;1;5;6;3;11;0;"1"
"1946";2017;17;2;0;2;0;2;2;1;41;0;"1"
"1947";2018;1;0;0;0;0;0;0;3;7;0;"1"
"1948";2004;2;4;2;0;0;0;0;3;1;0;"1"
"1949";1982;1;17;0;17;8;0;0;3;4;1;"1"
"1950";1931;1;0;0;0;0;0;0;3;1;0;"2"
"1951";1997;1;0;0;0;0;0;0;3;4;0;"1"
"1952";1921;1;1;0;1;0;0;0;3;1;0;"2"
"1953";1984;1;13;0;13;6;1;1;3;6;1;"1"
"1954";2012;3;2;1;2;4;0;1;1;2;0;"1"
"1955";2016;1;0;0;0;0;0;0;3;3;0;"1"
"1956";1911;1;0;0;0;0;0;0;3;20;0;"2"
"1957";2004;11;243;13;110;39;20;37;3;27;1;"1"
"1958";1999;1;58;0;58;12;2;8;3;22;1;"1"
"1959";1940;1;2;0;2;0;0;0;3;7;0;"2"
"1960";2010;1;0;0;0;1;0;0;3;78;0;"1"
"1961";2013;1;3;0;3;0;0;0;3;10;0;"1"
"1962";2014;8;3;0;3;3;1;1;4;20;1;"1"
"1963";2014;5;165;0;58;3;55;58;1;31;1;"1"
"1964";1999;3;6;1;3;4;3;3;1;10;0;"1"
"1965";1993;14;85;0;77;17;1;2;3;58;1;"1"
"1966";1947;1;0;0;0;0;0;0;3;6;0;"2"
"1967";2017;1;1;0;1;0;1;1;3;9;0;"1"
"1968";1913;1;0;0;0;0;0;0;3;5;0;"2"
"1969";1961;1;1;0;1;0;0;0;3;1;0;"2"
"1970";2020;5;0;0;0;10;0;0;1;23;0;"1"
"1971";1978;7;20;0;10;6;0;0;3;14;1;"1"
"1972";1935;1;0;0;0;0;0;0;3;1;0;"2"
"1973";1913;1;0;0;0;0;0;0;3;6;0;"2"
"1974";1995;1;4;0;4;0;1;1;3;13;0;"1"
"1975";2004;1;4;0;4;0;0;2;3;3;0;"1"
"1976";1983;1;13;0;13;8;0;0;3;18;1;"1"
"1977";1925;1;0;0;0;0;0;0;3;27;0;"2"
"1978";2007;6;14;0;0;0;0;0;3;46;1;"1"
"1979";1937;1;0;0;0;0;0;0;3;1;0;"2"
"1980";2011;1;1;0;1;0;0;0;3;2;0;"1"
"1981";1925;1;0;0;0;0;0;0;3;2;0;"2"
"1982";1949;1;1;0;1;0;0;0;3;15;0;"2"
"1983";1972;1;1;0;1;0;0;0;3;29;0;"1"
"1984";2005;4;25;0;20;10;0;6;3;32;1;"1"
"1985";2014;1;0;0;0;0;0;0;3;7;0;"1"
"1986";2020;1;0;0;0;0;0;0;2;4;0;"1"
"1987";1990;2;1;0;0;0;0;0;3;8;0;"1"
"1988";2003;1;74;0;74;34;14;25;3;17;1;"1"
"1989";1995;5;62;3;0;6;0;0;1;3;1;"1"
"1990";2013;1;0;1;0;4;0;0;3;1;0;"1"
"1991";1916;1;0;0;0;0;0;0;3;21;0;"2"
"1992";1913;1;1;0;1;0;0;0;3;36;0;"2"
"1993";2020;1;0;0;0;0;0;0;2;10;0;"1"
"1994";2005;1;47;0;47;0;20;20;3;13;0;"1"
"1995";1941;1;1;0;1;0;0;0;3;6;0;"2"
"1996";1911;1;0;0;0;0;0;0;3;1;0;"2"
"1997";1995;1;5;0;5;0;0;0;3;2;0;"1"
"1998";1957;1;10;0;10;0;0;0;3;30;0;"2"
"1999";1986;3;6;0;2;0;0;0;3;20;0;"1"
"2000";2002;10;97;1;95;36;15;28;3;18;1;"1"
"2001";2004;1;0;0;0;0;0;0;3;7;0;"1"
"2002";1979;1;36;0;36;8;2;4;3;9;1;"1"
"2003";1904;1;0;0;0;0;0;0;3;7;0;"2"
"2004";2020;6;12;3;0;20;0;0;4;22;1;"1"
"2005";2011;6;115;0;31;5;7;19;4;22;1;"1"
"2006";1961;1;3;0;3;0;0;0;3;1;0;"2"
"2007";1924;1;0;0;0;0;0;0;3;3;0;"2"
"2008";1995;1;22;1;22;20;8;8;3;34;1;"1"
"2009";1987;1;14;0;14;20;0;0;3;31;1;"1"
"2010";1988;1;111;0;111;7;0;0;3;4;1;"1"
"2011";1941;1;0;0;0;0;0;0;3;1;0;"2"
"2012";1913;1;0;0;0;0;0;0;3;8;0;"2"
"2013";2006;3;1;0;1;6;1;1;3;5;0;"1"
"2014";1989;2;8;0;0;0;0;0;3;24;0;"1"
"2015";1984;1;12;0;12;12;0;1;3;22;1;"1"
"2016";1952;1;1;0;1;0;0;0;3;23;0;"2"
"2017";1973;2;3;0;3;0;0;0;3;9;0;"1"
"2018";2007;1;11;0;11;0;2;2;3;22;0;"1"
"2019";2012;1;0;0;0;0;0;0;3;5;0;"1"
"2020";2010;2;79;0;34;9;5;18;4;22;1;"1"
"2021";1981;1;11;0;11;10;1;2;3;6;1;"1"
"2022";1990;1;0;0;0;0;0;0;3;1;0;"1"
"2023";1957;1;1;0;1;0;1;1;3;1;0;"2"
"2024";1914;1;0;0;0;0;0;0;3;2;0;"2"
"2025";2009;1;2;0;2;6;1;2;1;11;0;"1"
"2026";1996;1;0;0;0;0;0;0;3;4;0;"1"
"2027";2004;1;16;0;16;5;2;7;3;12;1;"1"
"2028";2005;1;0;0;0;0;0;0;3;4;0;"1"
"2029";1920;1;0;0;0;0;0;0;3;34;0;"2"
"2030";2020;1;0;0;0;0;0;0;2;1;0;"1"
"2031";1999;1;1;1;1;0;0;0;3;1;0;"1"
"2032";2011;3;5;1;5;3;0;1;3;49;0;"1"
"2033";2005;5;15;0;8;6;1;2;3;9;1;"1"
"2034";2005;1;0;1;0;3;0;0;3;5;0;"1"
"2035";1980;1;2;0;2;0;1;1;3;4;0;"1"
"2036";2009;2;0;1;0;6;0;0;3;3;0;"1"
"2037";2017;1;2;0;2;0;0;0;3;5;0;"1"
"2038";1933;1;0;0;0;0;0;0;3;1;0;"2"
"2039";2006;6;27;1;1;4;0;0;3;47;1;"1"
"2040";1953;1;0;0;0;0;0;0;3;3;0;"2"
"2041";2013;1;0;0;0;0;0;0;3;41;0;"1"
"2042";1913;1;0;0;0;0;0;0;3;14;0;"2"
"2043";1993;1;40;1;40;8;0;2;3;8;1;"1"
"2044";1934;1;1;0;1;0;0;0;3;7;0;"2"
"2045";1974;1;2;0;2;6;0;0;3;22;1;"1"
"2046";2013;1;0;0;0;0;0;0;3;6;0;"1"
"2047";2003;1;5;1;5;5;3;3;3;1;0;"1"
"2048";1987;1;53;11;53;16;0;0;3;13;1;"1"
"2049";2016;17;147;0;0;4;0;0;3;15;1;"1"
"2050";1952;1;0;0;0;0;0;0;3;16;0;"2"
"2051";1910;1;0;0;0;0;0;0;3;4;0;"2"
"2052";2003;1;3;0;3;0;0;0;3;3;0;"1"
"2053";1911;1;0;0;0;0;0;0;3;6;0;"2"
"2054";2015;7;8;0;1;4;1;1;1;10;1;"1"
"2055";2020;2;0;1;0;8;0;0;1;106;0;"1"
"2056";2000;1;17;0;17;6;0;6;3;31;1;"1"
"2057";1913;1;0;0;0;0;0;0;3;21;0;"2"
"2058";1984;1;42;0;42;12;2;3;3;46;1;"1"
"2059";2016;1;0;1;0;4;0;0;3;2;0;"1"
"2060";1933;1;0;0;0;0;0;0;3;1;0;"2"
"2061";2014;1;1;0;1;0;0;0;3;6;0;"1"
"2062";1994;1;0;0;0;0;0;0;3;40;0;"1"
"2063";2016;1;1;0;1;0;1;1;3;8;0;"1"
"2064";2003;3;0;0;0;0;0;0;1;39;0;"1"
"2065";1970;2;6;0;5;0;0;0;3;2;0;"2"
"2066";1978;1;46;0;46;5;1;1;3;38;1;"1"
"2067";2018;2;0;0;0;0;0;0;4;3;0;"1"
"2068";1961;1;3;0;3;0;0;0;3;1;0;"2"
"2069";2005;1;1;0;1;0;0;0;3;1;0;"1"
"2070";1961;1;1;0;1;0;0;0;3;10;0;"2"
"2071";2011;4;13;0;7;21;2;7;4;14;1;"1"
"2072";1925;1;0;0;0;0;0;0;3;1;0;"2"
"2073";1991;2;4;0;4;3;0;0;3;16;0;"1"
"2074";1913;1;0;0;0;0;0;0;3;11;0;"2"
"2075";1976;1;18;0;18;8;1;1;3;15;1;"1"
"2076";2011;1;7;0;7;4;2;3;3;1;0;"1"
"2077";1958;1;2;0;2;0;0;0;3;1;0;"2"
"2078";2013;1;0;0;0;0;0;0;3;2;0;"1"
"2079";2014;4;71;0;12;8;10;12;3;56;1;"1"
"2080";1995;1;2;0;2;0;1;2;3;72;0;"1"
"2081";1980;2;5;0;0;0;0;0;3;5;0;"1"
"2082";1993;1;14;0;14;6;5;5;3;9;1;"1"
"2083";1999;1;34;0;34;12;7;11;3;33;1;"1"
"2084";1949;1;0;0;0;0;0;0;3;9;0;"2"
"2085";1913;1;0;0;0;0;0;0;3;53;0;"2"
"2086";1990;6;46;2;42;19;3;3;3;33;1;"1"
"2087";1920;1;1;0;1;0;0;0;3;5;0;"2"
"2088";1914;1;0;0;0;0;0;0;3;9;0;"2"
"2089";1966;1;1;0;1;0;0;0;3;1;0;"2"
"2090";2017;1;0;0;0;0;0;0;3;9;0;"1"
"2091";2003;12;0;0;0;4;0;0;3;7;0;"1"
"2092";1961;1;1;0;1;0;0;0;3;19;0;"2"
"2093";2005;1;37;0;37;7;11;25;1;14;0;"1"
"2094";2012;8;24;0;7;0;7;7;4;7;1;"1"
"2095";1938;1;1;0;1;0;0;0;3;14;0;"2"
"2096";2014;5;2;0;0;0;0;0;1;1;0;"1"
"2097";2003;1;0;0;0;0;0;0;3;1;0;"1"
"2098";1968;1;3;0;3;0;1;1;3;20;0;"2"
"2099";1913;1;0;0;0;0;0;0;3;19;0;"2"
"2100";2020;3;1;0;0;0;0;0;2;26;1;"1"
"2101";1977;1;2;0;2;9;0;1;3;23;1;"1"
"2102";1965;1;2;0;2;0;0;0;3;1;0;"2"
"2103";1990;3;13;0;13;5;0;1;3;6;1;"1"
"2104";1911;1;0;0;0;0;0;0;3;23;0;"2"
"2105";2016;1;2;0;2;0;2;2;3;9;0;"1"
"2106";2016;1;3;0;3;0;3;3;3;4;0;"1"
"2107";2008;1;0;0;0;0;0;0;3;41;0;"1"
"2108";2003;1;1;0;1;0;0;0;3;24;0;"1"
"2109";1931;1;0;0;0;0;0;0;3;1;0;"2"
"2110";2014;1;2;0;2;0;2;2;3;7;0;"1"
"2111";1921;1;0;0;0;0;0;0;3;1;0;"2"
"2112";1994;2;13;0;12;12;0;2;3;20;0;"1"
"2113";2015;1;0;0;0;10;0;0;1;24;0;"1"
"2114";1965;1;4;0;4;0;0;0;3;2;0;"2"
"2115";1990;3;8;0;1;0;0;1;1;8;0;"1"
"2116";2008;2;4;0;0;0;0;0;3;6;0;"1"
"2117";1981;1;5;0;5;6;0;0;3;11;1;"1"
"2118";1987;1;35;0;35;9;1;4;3;37;1;"1"
"2119";1988;5;23;0;22;5;0;0;3;9;1;"1"
"2120";1972;1;29;0;29;10;0;0;3;12;1;"1"
"2121";2000;1;25;0;25;10;5;10;3;6;1;"1"
"2122";2014;1;0;0;0;0;0;0;3;5;0;"1"
"2123";2002;1;0;0;0;0;0;0;3;11;0;"1"
"2124";2003;1;0;0;0;0;0;0;3;10;0;"1"
"2125";2007;1;0;0;0;0;0;0;3;4;0;"1"
"2126";2007;7;21;0;0;0;0;0;3;24;0;"1"
"2127";2012;1;2;0;2;0;2;2;3;7;0;"1"
"2128";2020;2;0;0;0;4;0;0;1;33;1;"1"
"2129";1968;1;0;0;0;0;0;0;3;2;0;"2"
"2130";2007;1;0;0;0;0;0;0;3;4;0;"1"
"2131";1957;1;3;0;3;0;0;0;3;23;0;"2"
"2132";1928;1;3;0;3;0;0;0;3;15;0;"2"
"2133";1963;1;2;0;2;0;0;2;3;38;0;"2"
"2134";2016;1;0;0;0;0;0;0;3;9;0;"1"
"2135";1995;2;6;0;2;0;2;2;3;17;0;"1"
"2136";1955;2;1;0;0;0;0;0;3;2;0;"2"
"2137";1909;1;0;0;0;0;0;0;3;27;0;"2"
"2138";2009;2;3;1;3;5;0;0;3;2;0;"1"
"2139";1993;6;10;0;7;7;0;1;3;18;1;"1"
"2140";2001;1;62;0;62;22;9;16;3;55;1;"1"
"2141";1997;1;10;0;10;0;0;0;3;5;0;"1"
"2142";2004;1;0;0;0;0;0;0;3;21;0;"1"
"2143";1912;1;0;0;0;0;0;0;3;10;0;"2"
"2144";1950;1;1;0;1;0;0;0;3;13;0;"2"
"2145";1921;1;3;0;3;0;0;0;3;1;0;"2"
"2146";2005;12;439;0;8;9;2;2;1;2;1;"1"
"2147";1932;1;0;0;0;0;0;0;3;1;0;"2"
"2148";1912;1;0;0;0;0;0;0;3;8;0;"2"
"2149";1915;1;0;0;0;0;0;0;3;4;0;"2"
"2150";1986;1;18;0;18;10;0;0;3;99;1;"1"
"2151";1937;1;0;0;0;0;0;0;3;6;0;"2"
"2152";2014;1;15;0;15;10;10;15;3;7;0;"1"
"2153";1976;1;1;0;1;0;0;0;3;97;0;"1"
"2154";2015;3;10;0;10;9;10;10;4;37;0;"1"
"2155";1921;1;0;0;0;0;0;0;3;1;0;"2"
"2156";2011;1;1;0;1;1;1;1;3;59;0;"1"
"2157";1996;1;2;0;2;0;0;0;3;6;0;"1"
"2158";2009;6;48;0;2;6;2;2;3;10;1;"1"
"2159";2014;1;0;0;0;0;0;0;3;1;0;"1"
"2160";1924;1;0;0;0;0;0;0;3;1;0;"2"
"2161";1995;13;197;0;146;8;2;5;3;43;1;"1"
"2162";1981;1;0;0;0;0;0;0;3;19;0;"1"
"2163";2020;1;0;0;0;8;0;0;1;9;0;"1"
"2164";2011;11;3;2;1;9;1;1;4;8;1;"1"
"2165";2013;1;19;0;19;2;12;19;3;18;0;"1"
"2166";2001;1;129;0;129;5;14;38;3;14;1;"1"
"2167";2011;1;0;0;0;4;0;0;3;11;0;"1"
"2168";2018;2;0;0;0;5;0;0;1;65;0;"1"
"2169";1967;1;2;0;2;0;0;0;3;1;0;"2"
"2170";1988;1;0;0;0;0;0;0;3;64;0;"1"
"2171";1925;1;0;0;0;0;0;0;3;7;0;"2"
"2172";2004;8;38;1;34;8;13;23;3;17;1;"1"
"2173";2016;1;0;1;0;3;0;0;3;4;0;"1"
"2174";1915;1;0;0;0;0;0;0;3;3;0;"2"
